team,v5_rank,v5_score,v51_rank,v51_score,delta_rank,delta_score
prfc scottsdale 14b pre-academy,1,0.689,1,0.618,0,-0.07099999999999995
scottsdale 14 sandsharks select,5,0.604,2,0.582,3,-0.02200000000000002
2014 elite,4,0.689,3,0.644,1,-0.04499999999999993
fc elite arizona 2014 boys - martinez,2,0.705,4,0.626,-2,-0.07899999999999996
southeast 2014 boys black,3,0.624,5,0.563,-2,-0.061000000000000054
phoenix premier fc 14b x-factor,7,0.582,6,0.552,1,-0.029999999999999916
phoenix united 2014 premier,9,0.568,7,0.522,2,-0.04599999999999993
14b nl #2,28,0.525,8,0.56,20,0.03500000000000003
madison fc 14 gold boys,14,0.523,9,0.497,5,-0.026000000000000023
psg 14b blue,11,0.546,10,0.49,1,-0.05600000000000005
real arizona 2014,10,0.55,11,0.487,-1,-0.06300000000000006
2014b west,8,0.572,12,0.483,-4,-0.08899999999999997
14b gsa,12,0.535,13,0.481,-1,-0.05400000000000005
dynamos sc 14b sc,15,0.52,14,0.479,1,-0.041000000000000036
fc elite arizona 2014 boys (archived),18,0.498,15,0.474,3,-0.02400000000000002
2014 tuzos academy fv,6,0.647,16,0.521,-10,-0.126
monsters 2014,17,0.669,17,0.616,0,-0.05300000000000005
fc deportivo az 2014b (gallegos),13,0.534,18,0.458,-5,-0.07600000000000001
azev b2014 (white),19,0.496,19,0.451,0,-0.044999999999999984
ccv stars 14 boys west pre-ecnl,27,0.475,20,0.448,7,-0.02699999999999997
excel soccer academy 14b red,23,0.485,21,0.447,2,-0.03799999999999998
kingman sc b14 mcgill,30,0.467,22,0.445,8,-0.02200000000000002
southeast 2014 boys red,26,0.478,23,0.443,3,-0.034999999999999976
sfc xolos arizona 2014,29,0.524,24,0.489,5,-0.03500000000000003
azsc 14b perez,20,0.493,25,0.439,-5,-0.05399999999999999
14 pre-mlsn #2,16,0.509,26,0.439,-10,-0.07
azsc 2014b pre-nl premier 2,36,0.452,27,0.436,9,-0.016000000000000014
14 pre-mlsn #1,21,0.492,28,0.433,-7,-0.059
legends fc az 14b black,24,0.482,29,0.429,-5,-0.05299999999999999
2014 rush boys,46,0.422,30,0.429,16,0.007000000000000006
playmaker futbol academy 14b black,22,0.485,31,0.426,-9,-0.059
phoenix premier fc 14b sw black,25,0.481,32,0.417,-7,-0.064
rsl-az yuma 14 boys quinonez,37,0.441,33,0.416,4,-0.025000000000000022
14b negrete pre mls next,31,0.467,34,0.416,-3,-0.051000000000000045
tuzos royals 14 pre-academy,40,0.432,35,0.416,5,-0.016000000000000014
nos santos 14 boys blue,32,0.466,36,0.415,-4,-0.051000000000000045
prfc desert foothills 14b pre-academy,33,0.464,37,0.414,-4,-0.050000000000000044
brazas 2014 boys black marcos,34,0.464,38,0.414,-4,-0.050000000000000044
14b engilman,41,0.429,39,0.408,2,-0.02100000000000002
azev b2014 (navy),42,0.429,40,0.408,2,-0.02100000000000002
az arsenal 14 boys select,58,0.39,41,0.405,17,0.015000000000000013
14b velasco,39,0.433,42,0.404,-3,-0.02899999999999997
gila valley ninjas,53,0.533,43,0.533,10,0.0
2014 boys yellow,38,0.434,44,0.398,-6,-0.035999999999999976
prfc west valley 14b predator,43,0.427,45,0.397,-2,-0.02999999999999997
phoenix premier fc 14b black,35,0.463,46,0.395,-11,-0.068
fc arizona pre ecnl rl b14,45,0.562,47,0.525,-2,-0.03700000000000003
excel soccer academy 14b black,49,0.465,48,0.435,1,-0.030000000000000027
tuzos royals 2014,51,0.41,49,0.391,2,-0.01899999999999996
pima surf 2014 b white,134,0.315,50,0.514,84,0.199
west valley 2014 boys martinez pre-elite64,44,0.424,51,0.386,-7,-0.03799999999999998
14b moyer,50,0.419,52,0.386,-2,-0.032999999999999974
ccv stars 14 boys south pre-ecnl,47,0.42,53,0.385,-6,-0.034999999999999976
amore 2014 boys,69,0.375,54,0.383,15,0.008000000000000007
az arsenal pre-ecnl b14,54,0.399,55,0.383,-1,-0.016000000000000014
prfc north valley 14b preacademy,60,0.388,56,0.382,4,-0.006000000000000005
ccv stars 14 boys east pre-ecnl,67,0.379,57,0.379,10,0.0
ccv stars 14 boys north pre-ecnl,55,0.442,58,0.421,-3,-0.02100000000000002
southeast 2014 boys green,56,0.393,59,0.378,-3,-0.015000000000000013
prfc southeast valley 14b predator,63,0.383,60,0.377,3,-0.006000000000000005
southeast 2014 boys blue,52,0.401,61,0.377,-9,-0.02400000000000002
14 boys navy,74,0.361,62,0.375,12,0.014000000000000012
tuzos academy mesa 2014,70,0.375,63,0.373,7,-0.0020000000000000018
cdo 14b premier,68,0.378,64,0.373,4,-0.0050000000000000044
scottsdale 14 sandsharks black,62,0.384,65,0.372,-3,-0.01200000000000001
vsc 2014 boys green,71,0.374,66,0.368,5,-0.006000000000000005
playmaker futbol academy 14b gold,59,0.389,67,0.367,-8,-0.02200000000000002
14b hinds,98,0.315,68,0.367,30,0.05199999999999999
14b jdeutsch pre-mls next,57,0.393,69,0.365,-12,-0.028000000000000025
u-12 (2014) boys yuma pre academy,64,0.426,70,0.406,-6,-0.019999999999999962
fc arizona 14b black gfc suenaga u12,48,0.559,71,0.485,-23,-0.07400000000000007
madison fc 14 blue boys,65,0.382,72,0.361,-7,-0.02100000000000002
fsc united 14 boys,125,0.253,73,0.36,52,0.10699999999999998
cdo 14b elite,90,0.364,74,0.397,16,0.03300000000000003
u-12 (2014) boys pre academy blue,61,0.386,75,0.354,-14,-0.03200000000000003
select 14b red,92,0.326,76,0.353,16,0.02699999999999997
scum east valley 14b ninjas,148,0.062,77,0.47,71,0.408
state 48 fc avondale 14 black,76,0.354,78,0.351,-2,-0.0030000000000000027
playmaker futbol academy pre-ecnl b14,66,0.423,79,0.389,-13,-0.033999999999999975
14b antunez pre-mls next,86,0.335,80,0.349,6,0.013999999999999957
14b felix nogales,91,0.363,81,0.385,10,0.02200000000000002
la academia 14b,81,0.38,82,0.384,-1,0.0040000000000000036
dynamos sc 14b gold,75,0.356,83,0.346,-8,-0.010000000000000009
ccv stars 14 boys west orange,73,0.362,84,0.344,-11,-0.018000000000000016
tuzos halcones 2014,72,0.364,85,0.343,-13,-0.020999999999999963
az inferno 14 boys black,78,0.351,86,0.342,-8,-0.008999999999999952
prfc scottsdale 14b predator,77,0.352,87,0.339,-10,-0.012999999999999956
ccv stars 14 boys north navy,106,0.301,88,0.335,18,0.03400000000000003
14b blue #1,101,0.346,89,0.371,12,0.025000000000000022
prfc north valley 14b predator,87,0.334,90,0.333,-3,-0.0010000000000000009
milan b,146,0.114,91,0.441,55,0.327
14b hermanson al,95,0.321,92,0.33,3,0.009000000000000008
east valley nsfc 14 boys tiggs,139,0.221,93,0.329,46,0.10800000000000001
az arsenal 14 boys teal sc,84,0.341,94,0.328,-10,-0.013000000000000012
rsl-az yuma 14 boys rodriguez,83,0.38,95,0.365,-12,-0.015000000000000013
tuzos 2014 nava,89,0.365,96,0.362,-7,-0.0030000000000000027
madison fc 14 white boys,105,0.402,97,0.434,8,0.03199999999999997
prfc southeast valley 14b predator-central,85,0.34,98,0.326,-13,-0.014000000000000012
ccv stars 14 boys north orange,79,0.347,99,0.326,-20,-0.020999999999999963
2014 boys blue,104,0.303,100,0.325,4,0.02200000000000002
select 14b,93,0.325,101,0.324,-8,-0.0010000000000000009
east valley nsfc 14 boys aguirre,82,0.342,102,0.324,-20,-0.018000000000000016
pumas tucson 14b,80,0.459,103,0.429,-23,-0.030000000000000027
verde valley united fc,99,0.347,104,0.358,-5,0.01100000000000001
14b nl #1,88,0.368,105,0.358,-17,-0.010000000000000009
prfc scottsdale 14b copa,114,0.276,106,0.319,8,0.04299999999999998
eagles f.c.,108,0.294,107,0.318,1,0.02400000000000002
cac 14/15b (conroy),113,0.276,108,0.317,5,0.04099999999999998
nos santos 14 boys white,117,0.27,109,0.316,8,0.045999999999999985
az arsenal 14 boys teal mc,102,0.308,110,0.316,-8,0.008000000000000007
prfc north valley 14b copa,110,0.285,111,0.311,-1,0.026000000000000023
fc elite arizona 2014 boys - urbina,96,0.351,112,0.346,-16,-0.0050000000000000044
phoenix valley soccer club boys 2014,115,0.276,113,0.307,2,0.030999999999999972
milan,130,0.244,114,0.302,16,0.057999999999999996
14b geoff,120,0.264,115,0.301,5,0.03699999999999998
synergy fc 14 b,122,0.263,116,0.299,6,0.035999999999999976
14b midhaan,124,0.261,117,0.298,7,0.03699999999999998
az arsenal 14 boys teal cb,94,0.324,118,0.297,-24,-0.027000000000000024
phoenix premier fc 14b white,112,0.277,119,0.293,-7,0.01599999999999996
ccv stars 14 boys south orange,123,0.262,120,0.293,3,0.030999999999999972
esc - boys chandler 15/16,147,0.097,121,0.387,26,0.29000000000000004
pima surf 2014 b blue,109,0.326,122,0.322,-13,-0.0040000000000000036
14 cityzens,103,0.306,123,0.286,-20,-0.020000000000000018
northwest 2014 boys,107,0.299,124,0.286,-17,-0.013000000000000012
14b rayados blue al,97,0.42,125,0.378,-28,-0.04199999999999998
prfc southeast valley 14b pre-academy,100,0.311,126,0.284,-26,-0.027000000000000024
14b rueda,116,0.274,127,0.282,-11,0.007999999999999952
tuzos titanes 2014,137,0.229,128,0.281,9,0.05200000000000002
14b laroussi,128,0.273,129,0.305,-1,0.03199999999999997
vsc 2014 boys white,127,0.275,130,0.305,-3,0.02999999999999997
prfc west valley 14b pre-academy,111,0.284,131,0.274,-20,-0.009999999999999953
psc 2014/15b,131,0.324,132,0.363,-1,0.03899999999999998
prfc desert foothills 14b predator,119,0.267,133,0.269,-14,0.0020000000000000018
jedi 14b,126,0.336,134,0.351,-8,0.014999999999999958
spartak academy 2014 boys,143,0.275,135,0.35,8,0.07499999999999996
deportivo mexico 14b,121,0.292,136,0.291,-15,-0.0010000000000000009
bala fc - 2014b,129,0.325,137,0.34,-8,0.015000000000000013
tuzos nogales 2014,132,0.323,138,0.34,-6,0.017000000000000015
hustle hard 2014- boys,142,0.209,139,0.25,3,0.04100000000000001
azsc 2014/2015b navy,135,0.31,140,0.332,-5,0.02200000000000002
america 14b,118,0.359,141,0.33,-23,-0.02899999999999997
psc 2014b,133,0.32,142,0.32,-9,0.0
az inferno 14 boys blue,144,0.245,143,0.311,1,0.066
state 48 fc avondale 14 white,138,0.301,144,0.309,-6,0.008000000000000007
fc sonora 14' b dynamo,140,0.244,145,0.253,-5,0.009000000000000008
tuzos chandler 2014 boys,136,0.309,146,0.295,-10,-0.014000000000000012
phoenix premier fc 14b pre mls next ad,141,0.292,147,0.266,-6,-0.025999999999999968
asa 014b magic,145,0.139,148,0.204,-3,0.06499999999999997
