Team Name,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
Next Level Soccer Northwest 2015 Boys Red,8,3,5,0,37.5,2025-03-15,2025-04-27
CCV STARS 15 Boys Navy PEO,8,2,3,3,25.0,2025-01-11,2025-03-23
Gila Valley Ninjas,7,5,2,0,71.42857142857143,2025-09-20,2025-09-21
Union Maricopa 2014 Boys Selects,7,0,7,0,0.0,2025-01-11,2025-03-15
Douglas FC,7,6,1,0,85.71428571428571,2025-01-18,2025-02-16
Juventus,7,1,5,1,14.285714285714285,2024-04-20,2025-05-24
Southeast 2015 Boys Red,7,6,1,0,85.71428571428571,2025-09-12,2025-09-28
Chelsea 13B,7,2,5,0,28.57142857142857,2024-04-20,2025-09-21
Pumas Tucson 14B,7,5,2,0,71.42857142857143,2025-09-19,2025-09-21
FCDA 14B Academy,6,3,3,0,50.0,2025-01-03,2025-03-30
15B AChacon Pre-MLS Next,6,5,0,1,83.33333333333334,2025-08-29,2025-09-28
CCV STARS 15 Boys White PEO,6,2,4,0,33.33333333333333,2025-01-11,2025-04-05
2014 Locomotive Blue,6,5,1,0,83.33333333333334,2024-10-12,2025-03-22
Bala FC - 2014B,6,2,2,2,33.33333333333333,2025-09-13,2025-09-14
Jedi 14B,6,2,4,0,33.33333333333333,2025-09-19,2025-09-21
Tuzos Nogales 2014,6,0,6,0,0.0,2025-09-20,2025-09-21
Milan B,6,0,6,0,0.0,2025-09-27,2025-09-28
PRFC North Valley 13B Predator,6,1,5,0,16.666666666666664,2024-04-28,2025-09-06
Next Level Soccer Southeast 2013 Boys Green,6,0,3,3,0.0,2024-09-07,2025-03-07
Next Level Soccer Southeast 2014 Boys Black,5,4,1,0,80.0,2024-10-18,2025-02-14
BRAZAS FC 2014 Boys Black,5,4,1,0,80.0,2025-09-06,2025-09-27
Sun Warriors 13/14 Boys,5,2,3,0,40.0,2024-04-27,2025-09-14
AZVV B2014 (NAVY),5,4,1,0,80.0,2025-09-06,2025-10-04
FSC United 13 Boys,5,1,2,2,20.0,2024-04-27,2025-01-12
Phoenix Premier FC 14B Pre MLS Next AD,5,1,4,0,20.0,2025-08-29,2025-09-20
Pima Surf 2014 B,5,1,3,1,20.0,2025-09-19,2025-10-05
PRFC North Valley 15B Copa,5,1,4,0,20.0,2024-11-02,2025-04-12
PSG 15B Blue,5,2,1,2,40.0,2024-09-27,2025-04-12
13 Boys Navy,5,1,4,0,20.0,2024-04-28,2025-05-25
13B GSA,4,4,0,0,100.0,2024-11-02,2025-02-09
AZ Arsenal 13 Boys Flagstaff,4,1,2,1,25.0,2024-10-12,2025-09-06
El Paso Football Club U11 BLUE,4,3,1,0,75.0,2025-04-12,2025-04-13
B14 Elite 2,4,3,1,0,75.0,2025-01-18,2025-01-19
15B Garza/Bernal 2,4,1,3,0,25.0,2024-12-14,2025-01-18
13B Flores,4,4,0,0,100.0,2024-09-14,2025-04-13
ECFC CHELSEA 14,4,2,1,1,50.0,2025-01-18,2025-01-19
B2014,4,3,0,1,75.0,2024-08-10,2025-08-17
PRFC North Valley 13B PreAcademy,4,2,2,0,50.0,2024-08-30,2025-04-27
B2014 White,4,2,1,1,50.0,2024-10-26,2025-01-19
Barcelona West 2014,4,3,1,0,75.0,2025-01-18,2025-01-19
Amore 2013 Boys,4,1,3,0,25.0,2024-11-10,2025-08-30
FC ARIZONA 13 KELLENAERS,4,0,4,0,0.0,2024-10-19,2025-03-22
CCV Stars 13 Boys Orange LAV,4,1,3,0,25.0,2024-11-23,2025-03-29
Las Vegas Sports Academy U12 Boys Black 2014,4,3,1,0,75.0,2025-09-13,2025-09-14
AZ Arsenal 13 Boys Verde Valley,4,3,1,0,75.0,2024-04-27,2025-03-23
FC ARIZONA PRE ECNL RL B14,4,3,0,1,75.0,2025-09-26,2025-09-28
Las Vegas Sports Academy U11 Boys Red 2014,4,2,0,2,50.0,2025-03-08,2025-03-09
Playmaker Futbol Academy 15B Black,4,1,3,0,25.0,2025-01-19,2025-02-23
State 48 FC Avondale 13 Copper,3,2,0,1,66.66666666666666,2025-09-26,2025-09-28
Rey Del Castillo FC Black,3,1,2,0,33.33333333333333,2025-09-06,2025-09-27
Colorado Rush 14B Academy Blue,3,2,1,0,66.66666666666666,2025-02-22,2025-02-23
AZEV B2013 (NAVY),3,0,3,0,0.0,2024-09-08,2025-01-12
State 48 FC 13 Copper,3,2,1,0,66.66666666666666,2024-11-30,2025-04-05
Playmaker Futbol Academy North 14B,3,3,0,0,100.0,2025-09-13,2025-10-04
South Central Fire B14,3,1,1,1,33.33333333333333,2025-03-21,2025-03-23
U-12 (2014) Boys Pre Academy Orange,3,1,2,0,33.33333333333333,2025-09-13,2025-10-04
CCV Stars 13 Boys PEO,3,1,1,1,33.33333333333333,2025-02-07,2025-03-15
REAL AZ,3,3,0,0,100.0,2025-07-19,2025-07-20
FC ARIZONA 13 GFC CUEVAS,3,2,1,0,66.66666666666666,2024-10-13,2025-04-27
2014/15 Locomotive Blue-LC,3,1,2,0,33.33333333333333,2025-01-18,2025-03-22
AZ Arsenal 15 Boys Flagstaff,3,1,2,0,33.33333333333333,2025-04-05,2025-04-06
Havasu Lions FC 14B Castillo,3,1,2,0,33.33333333333333,2025-09-06,2025-09-20
VSC 2013 Boys White,3,2,1,0,66.66666666666666,2024-10-26,2025-03-01
15B Oscar,3,0,3,0,0.0,2025-09-19,2025-09-20
Scottsdale 13 Sandsharks Select,3,2,1,0,66.66666666666666,2024-09-14,2025-04-25
Sporting California USA Perris B15 White,3,0,2,1,0.0,2025-03-15,2025-03-16
PRFC Scottsdale 15B Copa,3,0,2,1,0.0,2025-03-08,2025-03-22
PSG 14B Red,3,2,1,0,66.66666666666666,2025-09-06,2025-10-04
BRAZAS FC 2014 Boys Gold,3,0,2,1,0.0,2025-09-13,2025-10-04
Schneider Futsal Academy 2015,3,3,0,0,100.0,2025-07-07,2025-07-28
OK Energy FC 14B Pre-ECRL,3,2,1,0,66.66666666666666,2025-03-21,2025-03-22
Atletico Tuzos Guerrero 2014,3,0,2,1,0.0,2025-09-06,2025-09-07
PRFC Scottsdale 13B Pre-Academy,3,2,1,0,66.66666666666666,2024-12-15,2025-03-23
Phoenix United 2013 Academy,3,1,1,1,33.33333333333333,2024-10-20,2025-01-12
Phoenix Premier FC 15B Black,3,1,2,0,33.33333333333333,2025-01-05,2025-09-27
Mighty Dragons 13B,3,2,0,1,66.66666666666666,2024-11-02,2025-02-16
AZSC 2015B White,3,2,1,0,66.66666666666666,2025-07-07,2025-07-28
Black Mambas,3,1,1,1,33.33333333333333,2025-02-08,2025-02-09
CDO 13B Elite,3,1,2,0,33.33333333333333,2024-10-05,2025-04-27
2013 Boys,3,0,1,2,0.0,2024-12-14,2025-03-22
BVB IA LV 2014 Black,3,1,1,1,33.33333333333333,2025-01-11,2025-01-12
2014 Boys Red,3,1,2,0,33.33333333333333,2025-02-22,2025-03-21
13B Blue #1,3,2,1,0,66.66666666666666,2024-09-28,2025-04-05
Chelsea 15B,3,3,0,0,100.0,2025-02-15,2025-02-16
Phoenix Premier FC 14B Pre MLS AD,3,1,2,0,33.33333333333333,2025-08-29,2025-08-31
PRFC Southeast Valley 13B Predator,3,0,3,0,0.0,2024-04-21,2025-04-12
B2014 Academy,3,1,1,1,33.33333333333333,2024-08-31,2025-08-23
Southeast 2013 Boys Green,3,2,1,0,66.66666666666666,2025-09-27,2025-09-28
Las Vegas Sports Academy U10 Boys Red 2015,3,3,0,0,100.0,2025-03-08,2025-03-09
U-12 (2013) Boys Pre Academy,3,2,1,0,66.66666666666666,2024-09-07,2025-02-23
Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,3,1,2,0,33.33333333333333,2025-09-13,2025-09-14
Prime 2014 Boys,3,3,0,0,100.0,2025-01-18,2025-01-19
Brazas 2013 Boys Black Pacifico,3,2,1,0,66.66666666666666,2024-09-21,2025-03-01
Select 13/14B,3,1,2,0,33.33333333333333,2024-10-26,2025-02-08
14B Rayados Blue,3,0,1,2,0.0,2025-09-21,2025-10-05
WTX Rush 2014 Randle,3,1,1,1,33.33333333333333,2025-01-18,2025-01-19
ACADEMY B14 - EA2,3,3,0,0,100.0,2025-01-18,2025-03-23
South 14B Select I,3,2,0,1,66.66666666666666,2025-02-22,2025-02-23
B2014 Yee,2,2,0,0,100.0,2025-05-17,2025-05-18
VSC 2015 Boys Green,2,2,0,0,100.0,2025-04-04,2025-04-05
CITY SC SW B14 Premier MUR,2,1,1,0,50.0,2025-05-18,2025-06-01
CCV STARS 15 Boys LAV,2,2,0,0,100.0,2025-04-05,2025-04-06
ALFAES 2014,2,1,1,0,50.0,2025-01-18,2025-01-19
FSC United 15 Boys,2,0,2,0,0.0,2025-05-24,2025-05-25
U-13 (2013) Boys Yuma Academy,2,2,0,0,100.0,2025-09-20,2025-09-21
B14 White Ozuna,2,1,0,1,50.0,2025-01-19,2025-01-19
Westside United Lobos,2,1,1,0,50.0,2025-02-08,2025-02-09
West Valley 2013/2014 Boys Kerlin,2,0,2,0,0.0,2024-11-09,2025-01-12
FC Hawaii 14B Red,2,1,1,0,50.0,2025-02-08,2025-02-09
NMSA 2014 B,2,0,1,1,0.0,2025-03-21,2025-03-22
Brazas 2013 Boys Gold Cassio,2,0,2,0,0.0,2024-10-13,2025-03-16
Rey Del Castillo FC Gold,2,1,1,0,50.0,2025-09-13,2025-09-13
Xplosion SC B14,2,1,0,1,50.0,2025-08-23,2025-08-24
South 14B Burgundy,2,1,0,1,50.0,2025-02-22,2025-02-23
Los Alamos Soccer League,2,1,1,0,50.0,2025-05-10,2025-05-11
Deportivo Coras USA 2015,2,2,0,0,100.0,2025-04-05,2025-04-05
VILLARREAL LV U12 WHITE-BA,2,2,0,0,100.0,2025-03-01,2025-03-02
Phoenix Premier FC 14B Pre MLS ACADEMY,2,0,2,0,0.0,2025-09-13,2025-09-20
West Valley 2014 Boys Acosta Pre-Premier,2,0,1,1,0.0,2025-09-06,2025-09-20
14B Pre-ECNL,2,2,0,0,100.0,2024-10-26,2025-02-16
FC Elite Arizona 2014/15 Boys,2,1,1,0,50.0,2025-04-26,2025-04-27
State 48 FC Casa Grande 14/15 Black,2,0,2,0,0.0,2025-09-13,2025-09-20
AZSC 15B Gold,2,0,2,0,0.0,2025-04-16,2025-04-19
Las Vegas Sports Academy U11 Boys Black 2014,2,0,2,0,0.0,2025-04-12,2025-04-12
Tuzos Academy 2013 BT,2,1,1,0,50.0,2025-02-22,2025-03-30
Las Vegas Elite FC B14 Gold,2,1,1,0,50.0,2025-03-01,2025-06-13
Cobras 2015-,2,2,0,0,100.0,2025-01-18,2025-01-19
14B Hermanson,2,0,2,0,0.0,2025-10-04,2025-10-04
FCDA 13B Red NL (AZ),2,0,1,1,0.0,2025-09-12,2025-09-13
Brazas FC 2014 Gold Rigo,2,0,1,1,0.0,2025-04-05,2025-04-06
B14 Academy II,2,0,2,0,0.0,2024-10-26,2025-02-16
Tuzos USA 2013,2,0,0,2,0.0,2025-04-05,2025-04-12
FC Tucson Youth 13B NL,2,1,1,0,50.0,2025-09-19,2025-09-20
2013 Boys National,2,0,2,0,0.0,2025-02-15,2025-02-16
AZSC 2014B Azanger- Indoor Only,2,2,0,0,100.0,2025-07-07,2025-07-14
AZ Arsenal 13 Boys Teal 1,2,1,1,0,50.0,2025-01-04,2025-04-12
So Cal Eagles Boys 2014C,2,0,2,0,0.0,2025-03-22,2025-03-22
14 Coed Mean Green,2,1,1,0,50.0,2025-01-18,2025-01-19
CPSC 14B Black 1,2,0,2,0,0.0,2025-02-15,2025-02-16
Real CO 2015 Boys Sporting,2,0,2,0,0.0,2025-02-22,2025-02-22
AZ Thundercats 2013,2,2,0,0,100.0,2025-04-05,2025-05-24
Synergy FC 13B,2,1,1,0,50.0,2025-02-01,2025-03-08
AZSC 2015B Navy,2,2,0,0,100.0,2025-07-07,2025-07-21
Players 14 Boys Elite,2,2,0,0,100.0,2025-02-01,2025-02-02
Phoenix Premier FC 13B Pre EA,2,2,0,0,100.0,2024-11-02,2025-03-15
Playmaker Futbol Academy 13B Gold,2,0,1,1,0.0,2024-12-15,2025-03-22
Central 14B Select I,2,2,0,0,100.0,2025-02-08,2025-02-08
AZ Arsenal 13 Boys Teal 2 Don,2,1,1,0,50.0,2024-09-21,2025-04-13
Phoenix Premier FC 14B SW White,2,1,1,0,50.0,2025-09-20,2025-10-04
PRFC Southeast Valley 15B Copa,2,0,2,0,0.0,2025-03-22,2025-03-22
PRFC Southeast Valley 14B Copa,2,1,1,0,50.0,2025-09-06,2025-09-13
AZ Arsenal 14 Boys Teal CJB,2,0,2,0,0.0,2025-07-19,2025-07-20
SCFC 2014,2,0,1,1,0.0,2025-09-26,2025-09-28
FDI 2015,2,2,0,0,100.0,2024-09-28,2025-04-19
BVB IA LV 2014 Yellow,2,1,1,0,50.0,2025-01-11,2025-01-12
Rebels FC 2014,2,2,0,0,100.0,2025-09-13,2025-10-04
2013 Boys (Arguelles Quezada),2,1,0,1,50.0,2025-03-23,2025-03-23
SC Union Cobras El Paso 2015,2,2,0,0,100.0,2025-03-15,2025-03-16
B14 HR,2,1,1,0,50.0,2025-01-18,2025-03-22
Brazas 2015 Boys White Diego Lopez,2,0,1,1,0.0,2025-04-04,2025-04-05
NMSA 2014 Roadrunners,2,0,2,0,0.0,2025-01-18,2025-01-19
Brazas 2015 Boys Gold Diego Rangel,2,2,0,0,100.0,2025-04-04,2025-04-05
B14 Blue - Velez,1,0,1,0,0.0,2025-01-19,2025-01-19
PSG 13B Blue E64RL,1,0,1,0,0.0,2025-08-30,2025-08-30
Next Level Soccer Northwest 2013 Boys Red,1,0,1,0,0.0,2025-02-23,2025-02-23
AYSO United 15BlueB,1,0,1,0,0.0,2025-05-11,2025-05-11
AZ Arsenal 14 Boys Flagstaff,1,1,0,0,100.0,2025-09-13,2025-09-13
CCV Stars 13 Boys Orange SUR,1,1,0,0,100.0,2025-02-08,2025-02-08
White 2015,1,0,1,0,0.0,2025-02-15,2025-02-15
PRFC West Valley 13B Pre-Academy,1,1,0,0,100.0,2025-03-30,2025-03-30
AYSO 1079 2015 Boys,1,1,0,0,100.0,2025-01-18,2025-01-18
15 Pre-MLS Next Tier #1,1,0,1,0,0.0,2025-08-30,2025-08-30
South County B2013 Blue,1,0,1,0,0.0,2025-08-23,2025-08-23
AZ Arsenal 13 Boys AYDP Kennedy,1,0,1,0,0.0,2025-03-29,2025-03-29
Eastside FC B14 White,1,0,0,1,0.0,2025-03-22,2025-03-22
PRFC Scottsdale 13B Copa,1,0,1,0,0.0,2025-02-01,2025-02-01
Blythe FC,1,1,0,0,100.0,2025-02-23,2025-02-23
RSLAZ Southern Rayados AZ 2013 Blue,1,0,1,0,0.0,2025-03-09,2025-03-09
Tigres  (Mexico),1,0,1,0,0.0,2025-02-15,2025-02-15
Las Vegas Sports Academy U12 Boys Red 2013,1,0,1,0,0.0,2025-03-08,2025-03-08
Alianza 2014 B black,1,1,0,0,100.0,2025-01-19,2025-01-19
JEDI 13B,1,1,0,0,100.0,2025-04-06,2025-04-06
B14 White,1,0,1,0,0.0,2025-01-19,2025-01-19
2014B Premier,1,1,0,0,100.0,2025-02-15,2025-02-15
Oaks FC B14 EA,1,0,1,0,0.0,2025-01-18,2025-01-18
B2014 Blue,1,1,0,0,100.0,2025-08-09,2025-08-09
La Piedad FC 2013,1,0,0,1,0.0,2025-03-30,2025-03-30
Next Level Soccer Southeast 2013 Boys Black,1,1,0,0,100.0,2025-03-29,2025-03-29
CITY SC SW B14 White MV II,1,0,1,0,0.0,2025-08-10,2025-08-10
Peak FC - U9/U10/U11,1,0,1,0,0.0,2025-05-10,2025-05-10
Catalyst 14 N,1,0,1,0,0.0,2025-05-16,2025-05-16
NB B2014 Blue,1,1,0,0,100.0,2025-01-19,2025-01-19
Next Level Soccer Southeast 2013 Boys Blue,1,0,1,0,0.0,2025-04-11,2025-04-11
Black 2014,1,1,0,0,100.0,2025-02-15,2025-02-15
Dorados Reserve 2013,1,0,1,0,0.0,2025-03-29,2025-03-29
JUSA Select Oftellie B14,1,0,1,0,0.0,2025-08-24,2025-08-24
FCDA 2013B Red,1,0,1,0,0.0,2025-09-07,2025-09-07
Madison FC 13 Gold,1,0,1,0,0.0,2025-03-23,2025-03-23
Avalanche 14B Gray SL,1,0,1,0,0.0,2025-08-29,2025-08-29
RSL-AZ South 15B Corral,1,0,1,0,0.0,2025-04-10,2025-04-10
Regal Soccer Academy B2014,1,1,0,0,100.0,2025-03-30,2025-03-30
Strikers FC Orange- B2014 AC Red,1,0,1,0,0.0,2025-01-19,2025-01-19
AYSO Alliance PV Wolves,1,0,1,0,0.0,2025-01-18,2025-01-18
City SC B14 Premier - O'Mahoney,1,0,0,1,0.0,2025-08-24,2025-08-24
ALBION SC Las Vegas B13 Academy V,1,0,1,0,0.0,2025-04-12,2025-04-12
United SoCal Redlands B2014 White,1,0,1,0,0.0,2025-08-23,2025-08-23
Strikers FC Orange- B2014 ES,1,0,1,0,0.0,2025-01-18,2025-01-18
 B14,1,1,0,0,100.0,2025-02-16,2025-02-16
South County Fury B2014,1,0,1,0,0.0,2025-05-31,2025-05-31
EV-NSFC 15 Boys Perez(1),1,1,0,0,100.0,2025-04-14,2025-04-14
Lonestar Black 14B (Jimenez),1,1,0,0,100.0,2025-01-19,2025-01-19
AZ Arsenal 13 Boys Teal DC,1,0,0,1,0.0,2025-08-31,2025-08-31
Las Vegas Sports Academy U10 Boys Grey 2015,1,0,1,0,0.0,2025-03-01,2025-03-01
Las Vegas Elite FC B14 Black,1,1,0,0,100.0,2025-03-29,2025-03-29
BVBIA 14B North America,1,1,0,0,100.0,2025-03-21,2025-03-21
Galacticos FC Sonora,1,0,1,0,0.0,2025-09-06,2025-09-06
13B FMendez,1,1,0,0,100.0,2025-02-15,2025-02-15
Legends FC- San Diego B14 FC,1,1,0,0,100.0,2025-01-18,2025-01-18
2014 Elite 2,1,0,1,0,0.0,2025-02-16,2025-02-16
Utah Glory B14 Red NV,1,0,1,0,0.0,2025-03-29,2025-03-29
B14 Elite - South,1,1,0,0,100.0,2025-01-18,2025-01-18
B14 Premier,1,1,0,0,100.0,2025-08-08,2025-08-08
FC Elite Arizona 2015 Boys,1,0,0,1,0.0,2025-02-22,2025-02-22
Las Vegas Sports Academy U11 Boys White 2014,1,1,0,0,100.0,2025-02-01,2025-02-01
OJB FC 2014 Boys,1,0,1,0,0.0,2025-09-27,2025-09-27
B14 EA,1,1,0,0,100.0,2025-08-08,2025-08-08
2013 Locomotive BLUE,1,0,1,0,0.0,2025-03-21,2025-03-21
Strikers FC Irvine 2014 Ba Black*,1,1,0,0,100.0,2025-01-19,2025-01-19
PRFC West Valley 13B Copa,1,0,1,0,0.0,2025-04-05,2025-04-05
Borussia Del Mar Soccer Club Boys 2014,1,1,0,0,100.0,2025-08-23,2025-08-23
Pride SC Predators B13,1,1,0,0,100.0,2025-02-22,2025-02-22
La Roca 14B M Castillo,1,0,0,1,0.0,2025-01-18,2025-01-18
Excel Soccer Academy 16 Red,1,1,0,0,100.0,2025-02-22,2025-02-22
PRFC Scottsdale 15B Pre-Academy,1,0,1,0,0.0,2025-08-31,2025-08-31
Wasatch SC 13B Blue CD,1,0,1,0,0.0,2025-02-17,2025-02-17
City SC Central Valley AV-B2014,1,0,0,1,0.0,2025-08-09,2025-08-09
RENO PUMITAS,1,1,0,0,100.0,2025-06-13,2025-06-13
Next Level Soccer Southeast 2013 Boys Red,1,1,0,0,100.0,2025-02-28,2025-02-28
AYSO United White 14 B,1,0,1,0,0.0,2025-03-21,2025-03-21
PRFC SEV 13B NL Premier 2 AZ,1,0,1,0,0.0,2025-08-31,2025-08-31
Cimarron FC,1,0,1,0,0.0,2025-05-31,2025-05-31
Impact JB 14B,1,0,1,0,0.0,2025-01-18,2025-01-18
Northwest 2013 Boys Black,1,0,1,0,0.0,2025-09-28,2025-09-28
BSSA Mambas 2012,1,1,0,0,100.0,2025-03-01,2025-03-01
Rey Del Castillo FC 2014/15,1,0,1,0,0.0,2025-09-13,2025-09-13
Carlsbad B14 White - C. Oliveira,1,1,0,0,100.0,2025-08-16,2025-08-16
2013 Boys (Larson),1,0,1,0,0.0,2025-02-15,2025-02-15
 2015,1,1,0,0,100.0,2025-02-15,2025-02-15
SWSC B2014 GOLD,1,0,1,0,0.0,2025-05-31,2025-05-31
ALBION SC San Diego B14 Academy III,1,1,0,0,100.0,2025-08-09,2025-08-09
14 Academy,1,1,0,0,100.0,2025-02-16,2025-02-16
Henderson LVSA 13/14B Black,1,0,1,0,0.0,2025-03-01,2025-03-01
LV Heat Surf 14B Pre NP Henderson,1,1,0,0,100.0,2025-02-28,2025-02-28
14B Pre NP Henderson,1,1,0,0,100.0,2025-02-16,2025-02-16
South County B2013 White,1,0,1,0,0.0,2025-08-23,2025-08-23
Outlaws 2014B,1,1,0,0,100.0,2025-01-18,2025-01-18
Union Maricopa 2013B West Premier,1,1,0,0,100.0,2025-02-21,2025-02-21
NMSA 13 Pre EA Boys,1,0,1,0,0.0,2025-03-22,2025-03-22
PRFC WV 13B NL Premier 2 AZ,1,0,1,0,0.0,2025-08-30,2025-08-30
AZSC 13B Vargas Pre-E64RL,1,1,0,0,100.0,2025-04-27,2025-04-27
Tuzos Academy 2013,1,0,1,0,0.0,2025-09-19,2025-09-19
Platinum IE B14 Yanez 1037,1,0,1,0,0.0,2025-08-09,2025-08-09
ALBION SC Las Vegas B14 Academy I,1,0,1,0,0.0,2025-02-02,2025-02-02
Albion CC SM B14 Academy,1,1,0,0,100.0,2025-06-14,2025-06-14
SD Force B2014 Pre NPL,1,1,0,0,100.0,2025-01-18,2025-01-18
Legends FC AZ 15B Gold,1,0,0,1,0.0,2025-03-21,2025-03-21
"ARCOS FC , CHALLENGERS",1,1,0,0,100.0,2025-06-15,2025-06-15
UTAH GLORY B14 BLACK JV,1,0,1,0,0.0,2025-01-18,2025-01-18
Temecula FC 2014 quails,1,1,0,0,100.0,2025-05-31,2025-05-31
FBSL-Spartak Academy 2013/14 Boys,1,0,1,0,0.0,2025-03-22,2025-03-22
Dallas Texans Pre ECNL B14 Salazar,1,0,1,0,0.0,2025-05-17,2025-05-17
CFA OC SC B14 White Velazquez,1,0,1,0,0.0,2025-01-18,2025-01-18
FRAM B14 EA-Lopez,1,0,1,0,0.0,2025-01-18,2025-01-18
Havasu Lions 13B Moran,1,0,1,0,0.0,2025-04-26,2025-04-26
ALBION SC Riverside B14 EA,1,0,1,0,0.0,2025-01-19,2025-01-19
Desert Communities Soccer Club,1,1,0,0,100.0,2025-08-09,2025-08-09
Park City SC B2014 Red,1,1,0,0,100.0,2025-08-30,2025-08-30
Santos 13b,1,1,0,0,100.0,2025-03-08,2025-03-08
B2015 White,1,0,1,0,0.0,2025-02-15,2025-02-15
City SC UT Premier 13B-AU,1,0,1,0,0.0,2025-03-02,2025-03-02
REAL B2013 Gold,1,0,1,0,0.0,2025-03-21,2025-03-21
AYSO 1079 2015/16 Boys,1,0,1,0,0.0,2025-01-18,2025-01-18
B13 Velazquez,1,0,1,0,0.0,2025-08-24,2025-08-24
South County B2013,1,1,0,0,100.0,2025-08-24,2025-08-24
CDO 13B Alliance,1,0,1,0,0.0,2025-02-15,2025-02-15
SWSC B2014 ELITE,1,1,0,0,100.0,2025-06-01,2025-06-01
13B Gill,1,0,1,0,0.0,2025-03-23,2025-03-23
13B WMolina,1,1,0,0,100.0,2025-03-02,2025-03-02
CITY SC SW B14 White LE Rea,1,0,1,0,0.0,2025-08-09,2025-08-09
Tuzos Mesa 2014,1,0,1,0,0.0,2025-03-08,2025-03-08
Fenomenos 2014,1,0,0,1,0.0,2025-05-17,2025-05-17
Cachimbas FC 2014,1,1,0,0,100.0,2025-08-30,2025-08-30
Paramount FC B14 White,1,0,1,0,0.0,2025-01-18,2025-01-18
Chula Vista FC 14B EA,1,1,0,0,100.0,2025-01-18,2025-01-18
Phoenix Premier FC 13B Black,1,0,1,0,0.0,2025-08-30,2025-08-30
LAIFC B2015,1,0,1,0,0.0,2025-03-22,2025-03-22
Southeast 2013 Boys Blue,1,0,1,0,0.0,2025-09-28,2025-09-28
NOS Santos 13 Boys White,1,0,1,0,0.0,2025-01-25,2025-01-25
Legends FC AZ 12G FC,1,0,1,0,0.0,2025-03-29,2025-03-29
B-14 Hugo,1,1,0,0,100.0,2025-08-16,2025-08-16
Legends FC SGV B14,1,0,1,0,0.0,2025-01-18,2025-01-18
B2014 Premier,1,0,1,0,0.0,2025-05-17,2025-05-17
Avalanche Boys 14 Black SL 2,1,0,1,0,0.0,2025-01-19,2025-01-19
Boys U10 Copper Mountain 13 EA/MS,1,0,1,0,0.0,2025-02-21,2025-02-21
Select 13B,1,0,1,0,0.0,2025-01-18,2025-01-18
Missoula Surf 2013B NPL,1,0,1,0,0.0,2025-04-06,2025-04-06
