Rank,Team,PowerScore_adj,PowerScore,GP_Mult,SAO_norm,SAD_norm,SOS_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
1,Southeast 2014 Boys Black Next Level Soccer (AZ),0.506,0.5061,1.0,0.8479635777680194,0.8995050847685867,0.261,27,0,Active,True,2025-09-14
2,14B GSA RSL-AZ North,0.414,0.4136,1.0,0.7272675008471373,0.7407778146622598,0.2,30,0,Active,True,2025-09-28
3,Tuzos Royals 2014 FBSL,0.406,0.4056,1.0,0.23825400324354998,0.634671429951221,0.385,30,0,Active,True,2025-10-04
4,2014B West Phoenix United Futbol Club,0.401,0.4008,1.0,0.848015811438234,0.8232118871564128,0.111,30,0,Active,True,2025-09-28
5,Southeast 2014 Boys Red Next Level Soccer (AZ),0.382,0.3815,1.0,0.5144075927203643,0.7512160928195558,0.214,30,0,Active,True,2025-10-05
6,Dynamos SC 14B SC Dynamos SC,0.378,0.3778,1.0,0.5726814005101287,0.9052984996148161,0.137,30,0,Active,True,2025-09-28
7,Excel Soccer Academy 14B Red Excel Soccer Academy,0.371,0.3714,1.0,0.5397426117080769,0.7984674833763626,0.173,30,0,Active,True,2025-10-05
8,PRFC Scottsdale 14B Pre-Academy Phoenix Rising FC,0.366,0.3662,1.0,0.8925328130821067,0.9052984996148161,0.011,30,0,Active,True,2025-10-05
9,Phoenix Premier FC 14B X-Factor Phoenix Premier FC,0.355,0.3553,1.0,0.8711480165648752,0.9052984996148161,0.0,30,0,Active,True,2025-09-21
10,Real Arizona 2014 Real Arizona FC,0.346,0.3457,1.0,0.8925328130821067,0.6499397573657223,0.062,30,0,Active,True,2025-04-27
11,14B Velasco RSL-AZ South,0.346,0.346,1.0,0.35186615543649447,0.7208918455931416,0.219,30,0,Active,True,2025-09-27
12,14 Pre-MLSN #1 FC Tucson Youth Soccer,0.345,0.3447,1.0,0.6824729973586612,0.7201937948041103,0.107,30,0,Active,True,2025-10-04
13,Phoenix United 2014 Premier Phoenix United Futbol Club,0.344,0.344,1.0,0.8925328130821067,0.8274059035122654,0.0,30,0,Active,True,2025-10-04
14,PSG 14B Blue Paris Saint-Germain Academy Phoenix,0.338,0.3375,1.0,0.8736626626410118,0.8140773894866518,0.0,30,0,Active,True,2025-10-04
15,AZSC 14B Perez Arizona Soccer Club,0.338,0.3378,1.0,0.7351383020874033,0.6237205111126778,0.11,30,0,Active,True,2025-04-27
16,Playmaker Futbol Academy 14B Black Playmaker Futbol Academy,0.332,0.3323,1.0,0.70386964045492,0.6518222927825643,0.102,30,0,Active,True,2025-09-28
17,FC Deportivo AZ 2014B (Gallegos) FC Deportivo Arizona,0.329,0.3286,1.0,0.8733694014931541,0.4636028963554921,0.102,24,0,Active,True,2025-10-04
18,Madison FC 14 Gold Boys Madison FC,0.323,0.3228,1.0,0.8674143260374864,0.7463488499546418,0.0,30,0,Active,True,2025-10-04
19,AZ Arsenal Pre-ECNL B14 Arizona Arsenal Soccer Club,0.318,0.3176,1.0,0.3467315012766869,0.45539972553442765,0.262,30,0,Active,True,2025-09-28
20,14 Pre-MLSN #2 FC Tucson Youth Soccer,0.316,0.3155,1.0,0.832592489710637,0.7449568546649906,0.0,30,0,Active,True,2025-10-04
21,PRFC Desert Foothills 14B Pre-Academy Phoenix Rising Desert Foothills,0.315,0.3146,1.0,0.6273266132616561,0.5615733690450954,0.128,30,0,Active,True,2025-10-05
22,FC Elite Arizona 2014 Boys (ARCHIVED) FC Elite Arizona,0.308,0.3081,1.0,0.6290055589172946,0.9052984996148161,0.002,30,0,Active,True,2025-06-01
23,Scottsdale 14 Sandsharks Select North Scottsdale Soccer Club,0.304,0.3041,1.0,0.6151767474787658,0.9052984996148161,0.0,25,0,Active,True,2025-10-04
24,CCV Stars 14 Boys North Pre-ECNL CCV STARS,0.298,0.3492,0.8538149682454624,0.29214403609461476,0.853886734583165,0.2,18,0,Active,True,2025-10-04
25,NOS Santos 14 Boys Blue NOS Santos SC,0.296,0.2963,1.0,0.7414309947780673,0.42184615282529864,0.106,27,0,Active,True,2025-10-04
26,Phoenix Premier FC 14B Black Phoenix Premier FC,0.296,0.2956,1.0,0.7053657074814845,0.38887383882244314,0.128,30,0,Active,True,2025-10-04
27,CCV Stars 14 Boys South Pre-ECNL CCV STARS,0.293,0.2932,1.0,0.4799978529387057,0.49977813760485584,0.162,27,0,Active,True,2025-10-05
28,PRFC North Valley 14B PreAcademy Phoenix Rising FC North Valley,0.293,0.2933,1.0,0.26611838415242645,0.5673580774136394,0.211,30,0,Active,True,2025-10-04
29,Kingman SC B14 McGill Kingman SC,0.29,0.2896,1.0,0.6809003097060773,0.7670080866615888,0.0,23,0,Active,True,2025-09-07
30,West Valley 2014 Boys Martinez Pre-Elite64 RSL-AZ West Valley,0.29,0.2904,1.0,0.4667114196581631,0.5951641874122461,0.13,30,0,Active,True,2025-04-27
31,2014 Boys Yellow Thunderbird FC,0.289,0.2886,1.0,0.48130372993237236,0.6978907583086812,0.088,30,0,Active,True,2025-09-20
32,Brazas 2014 Boys Black Marcos Brazas Futebol Club,0.285,0.2852,1.0,0.6847422526470135,0.6542095841097731,0.029,27,0,Active,True,2025-04-27
33,Phoenix Premier FC 14B SW Black Phoenix Premier FC,0.284,0.2842,1.0,0.8831024084684262,0.5378130431317021,0.0,24,0,Active,True,2025-09-28
34,14B Negrete Pre MLS Next RSL-AZ Southern AZ,0.282,0.2821,1.0,0.6970094227814786,0.6265366583674213,0.029,21,0,Active,True,2025-10-04
35,Playmaker Futbol Academy PRE-ECNL B14 Playmaker Futbol Academy,0.282,0.305,0.9259454627568515,0.4864006263854191,0.48364061812713127,0.185,19,0,Active,True,2025-09-28
36,CCV Stars 14 Boys West Pre-ECNL CCV STARS,0.28,0.2803,1.0,0.6068779577840971,0.6265366583674218,0.056,21,0,Active,True,2025-09-13
37,Legends FC AZ 14B Black Dynamos SC,0.279,0.2787,1.0,0.8357176803344898,0.5126227640124608,0.015,30,0,Active,True,2025-04-13
38,AZSC 2014B Pre-NL Premier 2 Arizona Soccer Club,0.279,0.2787,1.0,0.5841991985338466,0.8094618153867491,0.0,30,0,Active,True,2025-09-20
39,Southeast 2014 Boys Blue Next Level Soccer (AZ),0.266,0.2664,1.0,0.42287062555235994,0.5041462680108953,0.135,30,0,Active,True,2025-10-04
40,14B JDeutsch Pre-MLS Next RSL-AZ South,0.266,0.2665,1.0,0.37624569930967805,0.5420704264866969,0.138,21,0,Active,True,2025-09-19
41,14B Antunez Pre-MLS Next RSL-AZ North,0.266,0.2662,1.0,0.2440658147606049,0.27115607568034333,0.272,26,0,Active,True,2025-10-05
42,2014 Tuzos Academy FV FBSL,0.263,0.3351,0.7836612788698953,0.8925328130821067,0.7829408386028903,0.0,17,0,Active,True,2025-10-04
43,Tuzos Royals 14 Pre-Academy FBSL,0.261,0.2609,1.0,0.5037127423608232,0.7376409802910968,0.021,30,0,Active,True,2025-09-14
44,2014 Rush Boys Phoenix Rush,0.258,0.2579,1.0,0.7081324022239766,0.5815869395355351,0.0,30,0,Active,True,2025-10-04
45,2014 Elite Phoenix United Futbol Club,0.257,0.3596,0.7155417527999328,0.8925328130821067,0.9052984996148161,0.0,16,0,Active,True,2025-09-28
46,14B Moyer RSL-AZ South,0.252,0.2519,1.0,0.464179328097517,0.7201724764850334,0.025,26,0,Active,True,2025-09-20
47,AZEV B2014 (NAVY) AYSO United (AZ),0.248,0.2477,1.0,0.5638640587118479,0.6747076260871814,0.0,30,0,Active,True,2025-09-27
48,CCV Stars 14 Boys North Orange CCV STARS,0.248,0.2484,1.0,0.23806768760456248,0.4489863084196108,0.185,30,0,Active,True,2025-10-04
49,U-12 (2014) Boys Yuma Pre Academy SC del Sol,0.246,0.3431,0.7155417527999328,0.2926470246420512,0.7030399310278441,0.24,16,0,Active,True,2025-09-07
50,14B Engilman RSL-AZ North,0.243,0.2429,1.0,0.6510032378970662,0.5243584232337248,0.013,30,0,Active,True,2025-09-20
51,RSL-AZ Yuma 14 Boys Quinonez RSL-AZ Yuma,0.237,0.237,1.0,0.7879597183262603,0.35223176081047414,0.015,22,0,Active,True,2025-10-04
52,AZ Arsenal 14 Boys Select Arizona Arsenal Soccer Club,0.237,0.237,1.0,0.5802640364708661,0.6045497161729314,0.0,29,0,Active,True,2025-10-04
53,PRFC West Valley 14B Predator Phoenix Rising FC,0.232,0.2321,1.0,0.7242016405937302,0.4360522478883075,0.0,30,0,Active,True,2025-10-04
54,AZEV B2014 (WHITE) AYSO United (AZ),0.228,0.2281,1.0,0.8925328130821067,0.23279883093446874,0.005,30,0,Active,True,2025-09-27
55,Southeast 2014 Boys Green Next Level Soccer (AZ),0.226,0.2258,1.0,0.5364246564926826,0.5926185891613892,0.0,30,0,Active,True,2025-10-05
56,U-12 (2014) Boys Pre Academy Blue SC del Sol,0.22,0.2203,1.0,0.47131455581457254,0.41713450530602136,0.071,30,0,Active,True,2025-10-05
57,PRFC Southeast Valley 14B Predator Phoenix Rising FC,0.218,0.218,1.0,0.6748593635872758,0.19937060517503546,0.072,30,0,Active,True,2025-10-04
58,Madison FC 14 Blue Boys Madison FC,0.214,0.2141,1.0,0.43418633970504705,0.4984939596105143,0.046,30,0,Active,True,2025-09-20
59,East Valley NSFC 14 Boys Aguirre East Valley/NSFC,0.212,0.2124,1.0,0.3187021566551067,0.3020832295915883,0.147,30,0,Active,True,2025-09-20
60,CDO 14B Premier Canyon Del Oro Soccer Club,0.211,0.211,1.0,0.46032773264769516,0.41142547173413063,0.061,30,0,Active,True,2025-10-05
61,Playmaker Futbol Academy 14B Gold Playmaker Futbol Academy,0.21,0.2099,1.0,0.5956257583738542,0.26785413738761593,0.062,30,0,Active,True,2025-09-28
62,Scottsdale 14 Sandsharks Black North Scottsdale Soccer Club,0.21,0.2104,1.0,0.23932129512156414,0.8125022385233501,0.0,23,0,Active,True,2025-09-13
63,CCV Stars 14 Boys East Pre-ECNL CCV STARS,0.207,0.2069,1.0,0.7186084962121981,0.315795329393015,0.0,22,0,Active,True,2025-09-14
64,Amore 2014 Boys Amore Soccer,0.201,0.2011,1.0,0.6432653865183512,0.3620629864670628,0.0,30,0,Active,True,2025-09-07
65,CCV Stars 14 Boys West Orange CCV STARS,0.199,0.1993,1.0,0.3954798240922685,0.6009838271381697,0.0,22,0,Active,True,2025-09-20
66,Northwest 2014 Boys Next Level Soccer (AZ),0.193,0.1927,1.0,0.2116234257917615,0.38275437862603,0.123,30,0,Active,True,2025-04-26
67,VSC 2014 Boys Green Vail SC,0.192,0.1924,1.0,0.5240875388197884,0.4377965766239811,0.0,24,0,Active,True,2025-09-21
68,14 Boys Navy FC Batavia,0.191,0.1907,1.0,0.43090975968933914,0.5223824663334464,0.0,30,0,Active,True,2025-09-20
69,Excel Soccer Academy 14B Black Excel Soccer Academy,0.188,0.2626,0.7155417527999328,0.6801022135538224,0.6328159842913355,0.0,16,0,Active,True,2025-10-04
70,PRFC Scottsdale 14B Predator Phoenix Rising FC,0.185,0.1852,1.0,0.4076619372334539,0.34413177111509896,0.058,30,0,Active,True,2025-09-20
71,Tuzos Academy Mesa 2014 FBSL,0.184,0.1837,1.0,0.557794106434437,0.36084704268532186,0.0,30,0,Active,True,2025-10-05
72,CDO 14B Elite Canyon Del Oro Soccer Club,0.181,0.2125,0.8538149682454624,0.5401661039487831,0.5224366226240503,0.0,18,0,Active,True,2025-09-21
73,State 48 FC Avondale 14 Black State 48 FC,0.181,0.1807,1.0,0.2964034921802109,0.5682764539888481,0.013,30,0,Active,True,2025-10-04
74,AZ Arsenal 14 Boys Teal SC Arizona Arsenal Soccer Club,0.178,0.1776,1.0,0.32026494511169207,0.4238238241018574,0.048,30,0,Active,True,2025-10-04
75,PRFC Southeast Valley 14B Predator-Central Phoenix Rising FC,0.177,0.1769,1.0,0.2983344821565455,0.4753442445527398,0.037,30,0,Active,True,2025-09-13
76,Tuzos Halcones 2014 FBSL,0.176,0.1759,1.0,0.5174850610196846,0.20898086910873095,0.051,30,0,Active,True,2025-10-05
77,14 Cityzens Scottsdale City FC,0.175,0.1748,1.0,0.2143586922160955,0.3264935651431905,0.111,30,0,Active,True,2025-10-04
78,Select 14B Red AZFC,0.173,0.1728,1.0,0.37482122586639915,0.48928180351243783,0.0,29,0,Active,True,2025-10-04
79,PRFC Southeast Valley 14B Pre-Academy Phoenix Rising FC,0.173,0.1726,1.0,0.25935568873783515,0.2794958710661476,0.108,30,0,Active,True,2025-10-04
80,La Academia 14B La Academia FC,0.172,0.201,0.8538149682454624,0.7759863657774226,0.22915215697914396,0.0,18,0,Active,True,2025-10-04
81,Dynamos SC 14B Gold Dynamos SC,0.165,0.1648,1.0,0.45675840962571085,0.36734435483260525,0.0,30,0,Active,True,2025-10-05
82,AZ Inferno 14 Boys Black AZ Inferno,0.163,0.1634,1.0,0.5567807164402793,0.2600410001412936,0.0,30,0,Active,True,2025-10-04
83,PRFC West Valley 14B Pre-Academy Phoenix Rising FC,0.161,0.1613,1.0,0.2116234257917615,0.330692188327449,0.088,30,0,Active,True,2025-09-21
84,14B NL #1 FC Tucson Youth Soccer,0.154,0.1969,0.7836612788698953,0.4240422363524017,0.45249024446282604,0.036,17,0,Active,True,2025-09-21
85,PRFC North Valley 14B Predator Phoenix Rising FC North Valley,0.151,0.1514,1.0,0.37394080770417226,0.38294349484568346,0.0,30,0,Active,True,2025-09-27
86,14B Hermanson AL RSL-AZ Southern AZ,0.151,0.1509,1.0,0.30722181669188375,0.44710832111429905,0.0,30,0,Active,True,2025-10-04
87,Tuzos 2014 Nava FBSL,0.149,0.1904,0.7836612788698953,0.7162790121449301,0.2357596283211176,0.0,17,0,Active,True,2025-10-04
88,Verde Valley United FC,0.149,0.2077,0.7155417527999328,0.3239517361941038,0.7144923389124814,0.0,16,20,Active,True,2025-05-25
89,2014 Boys Blue Thunderbird FC,0.144,0.1444,1.0,0.28748875768178,0.43447000466261537,0.0,30,0,Active,True,2025-09-20
90,CCV Stars 14 Boys North Navy CCV STARS,0.141,0.1409,1.0,0.36459159849741735,0.3399047512505538,0.0,23,0,Active,True,2025-10-04
91,14B Hinds RSL-AZ Southern AZ,0.141,0.1407,1.0,0.3427880345847287,0.36084704268532186,0.0,30,0,Active,True,2025-09-21
92,AZ Arsenal 14 Boys Teal CB Arizona Arsenal Soccer Club,0.14,0.1396,1.0,0.4687566051852461,0.19937060517503546,0.01,30,0,Active,True,2025-09-06
93,Select 14B Yavapai Soccer,0.139,0.1387,1.0,0.42939951196826226,0.2639493453119695,0.0,30,0,Active,True,2025-10-04
94,AZ Arsenal 14 Boys Teal MC Arizona Arsenal Soccer Club,0.134,0.1337,1.0,0.29828080138003005,0.37033552094424604,0.0,23,0,Active,True,2025-09-21
95,Eagles F.C. Renegades Soccer Club,0.13,0.1305,1.0,0.2116234257917615,0.44078327398858225,0.0,28,0,Active,True,2025-09-21
96,SFC XOLOS ARIZONA 2014 Spartans FC (AZ),0.129,0.2768,0.46475800154489,0.8184350211039145,0.5657735385758514,0.0,12,0,Active,True,2025-10-04
97,FC Elite Arizona 2014 Boys - Martinez FC Elite Arizona,0.127,0.3596,0.3535533905932738,0.8925328130821067,0.9052984996148161,0.0,10,0,Active,True,2025-09-28
98,14B Felix Nogales RSL-AZ Southern AZ,0.125,0.2127,0.5856620185738528,0.6699835550453072,0.3934370891948979,0.0,14,0,Active,True,2025-09-28
99,NOS Santos 14 Boys White NOS Santos SC,0.125,0.1249,1.0,0.38393865686150236,0.2406408306569321,0.0,29,0,Active,True,2025-10-04
100,14B Blue #1 FC Tucson Youth Soccer,0.125,0.1742,0.7155417527999328,0.2797873596115648,0.5913865825116202,0.0,16,0,Active,True,2025-09-21
101,CAC 14/15B (Conroy) Coronado Athletic Club,0.123,0.123,1.0,0.40865416096304874,0.20629015637334536,0.0,30,0,Active,True,2025-09-28
102,Synergy FC 14 B Synergy FC AZ,0.122,0.1222,1.0,0.21197098769489975,0.3988937311284358,0.0,30,0,Active,True,2025-09-27
103,PRFC North Valley 14B Copa Phoenix Rising FC North Valley,0.12,0.1205,1.0,0.4032063490569554,0.19937060517503546,0.0,30,0,Active,True,2025-04-27
104,14B Rueda RSL-AZ South,0.119,0.1187,1.0,0.22429924173227034,0.27607491151487956,0.031,24,0,Active,True,2025-10-04
105,FSC United 14 Boys Flagstaff SC,0.117,0.117,1.0,0.3856287782654927,0.19937060517503546,0.0,30,0,Active,True,2025-09-28
106,PRFC Scottsdale 14B Copa Phoenix Rising FC,0.114,0.1144,1.0,0.3556221620398556,0.2164438372535237,0.0,30,0,Active,True,2025-09-20
107,Phoenix Valley Soccer Club boys 2014 Phoenix Valley,0.114,0.1142,1.0,0.2457885787742825,0.22014069743039777,0.035,30,0,Active,True,2025-09-20
108,14B Geoff RSL-AZ Southern AZ,0.111,0.111,1.0,0.2448779373771536,0.3100363650399351,0.0,24,0,Active,True,2025-09-21
109,Phoenix Premier FC 14B White Phoenix Premier FC,0.109,0.1089,1.0,0.24265951302919495,0.25696422792621243,0.015,28,0,Active,True,2025-04-19
110,Milan AYSO 350 Alliance,0.108,0.1084,1.0,0.2116234257917615,0.33026289587541485,0.0,28,0,Active,True,2025-09-28
111,Hustle Hard 2014- Boys FBSL,0.107,0.1071,1.0,0.2116234257917615,0.32376651189844485,0.0,24,0,Active,True,2025-04-13
112,CCV Stars 14 Boys South Orange CCV STARS,0.105,0.1052,1.0,0.28392623165338426,0.242120753616889,0.0,30,0,Active,True,2025-10-04
113,14B Midhaan RSL-AZ North,0.104,0.104,1.0,0.3100253384328928,0.2097862352786777,0.0,26,0,Active,True,2025-09-14
114,14B NL #2 FC Tucson Youth Soccer,0.103,0.2907,0.3535533905932738,0.5481951866064794,0.9052984996148161,0.0,10,0,Active,True,2025-09-21
115,PRFC Desert Foothills 14B Predator Phoenix Rising Desert Foothills,0.101,0.1009,1.0,0.2457652713249227,0.20485434642611455,0.018,29,0,Active,True,2025-10-04
116,East Valley NSFC 14 Boys Tiggs East Valley/NSFC,0.098,0.0975,1.0,0.28814842589628636,0.19937060517503546,0.0,27,0,Active,True,2025-09-13
117,14B Rayados Blue AL RSL-AZ Southern AZ,0.092,0.3044,0.3018691769624716,0.4715632900207595,0.45357371829487153,0.199,9,0,Active,True,2025-10-05
118,RSL-AZ Yuma 14 Boys Rodriguez RSL-AZ Yuma,0.091,0.2573,0.3535533905932738,0.4393502472915729,0.38231232314511343,0.155,10,0,Active,True,2025-08-17
119,Deportivo Mexico 14B Renegades Soccer Club,0.09,0.1256,0.7155417527999328,0.3014098486756879,0.3265771178015973,0.0,16,0,Active,True,2025-09-28
120,Monsters 2014 United Latinos SC,0.088,0.3467,0.2529822128134704,0.8925328130821067,0.8410846265126205,0.0,8,0,Active,True,2025-09-20
121,FC Arizona 14B Black GFC Suenaga U12 FC Arizona,0.086,0.2862,0.3018691769624716,0.8824104344962255,0.5484869857529119,0.0,9,0,Active,True,2025-10-04
122,FC Elite Arizona 2014 Boys - Urbina FC Elite Arizona,0.085,0.2096,0.4078909167902615,0.31022368785234805,0.6206413480977993,0.039,11,0,Active,True,2025-09-28
123,Tuzos Titanes 2014 FBSL,0.085,0.0853,1.0,0.2116234257917615,0.21496846670030123,0.0,23,0,Active,True,2025-09-20
124,VSC 2014 Boys White Vail SC,0.083,0.1415,0.5856620185738528,0.2964399166979803,0.410959955510283,0.0,14,0,Active,True,2025-09-21
125,Pima Surf 2014 B Blue Pima County Surf Soccer Club,0.073,0.1576,0.46475800154489,0.37844420763826936,0.4094664690273185,0.0,12,0,Active,True,2025-10-05
126,14B Laroussi RSL-AZ South,0.068,0.1164,0.5856620185738528,0.3825555036376579,0.19937060517503546,0.0,14,0,Active,True,2025-09-27
127,PSC 2014/15B Paladin Soccer Club,0.066,0.5251,0.125,0.2752575723924133,0.2982100132166706,0.684,5,0,Provisional,True,2025-09-20
128,Pima Surf 2014 B White Pima County Surf Soccer Club,0.063,0.7084,0.0894427190999916,0.2737746158176556,0.2682056994315887,1.0,4,0,Provisional,True,2025-09-13
129,ASA 014B Magic Arizona Soccer Academy,0.053,0.0822,0.649519052838329,0.2116234257917615,0.19937060517503546,0.0,15,0,Active,True,2025-09-20
130,Madison FC 14 White Boys Madison FC,0.049,0.2361,0.20706279240848655,0.6254466276688757,0.5548463124310675,0.0,7,0,Active,True,2025-09-13
131,America 14b Renegades Soccer Club,0.045,0.1796,0.2529822128134704,0.5570091394110444,0.30819029165146994,0.011,8,0,Active,True,2025-09-28
132,FC Sonora 14' B Dynamo FC Sonora,0.043,0.1061,0.4078909167902615,0.2549418718186612,0.2753355614254488,0.0,11,0,Active,True,2025-09-28
133,Tuzos Chandler 2014 boys FBSL,0.042,0.2555,0.1643167672515498,0.4013994993599834,0.27930414670063275,0.199,6,0,Active,True,2025-10-04
134,AZ Inferno 14 Boys Blue AZ Inferno,0.039,0.1544,0.2529822128134704,0.4346765948707594,0.33723963897652615,0.0,8,0,Active,True,2025-10-04
135,PSC 2014B Paladin Soccer Club,0.034,0.2039,0.1643167672515498,0.2546157215210793,0.663036881578767,0.034,6,0,Active,True,2025-09-27
136,FC ARIZONA PRE ECNL RL B14 FC Arizona,0.029,0.3214,0.0894427190999916,0.5510298104061278,0.8757695209306785,0.06,4,0,Provisional,True,2025-09-28
137,AZSC 2014/2015B Navy Arizona Soccer Club,0.028,0.1676,0.1643167672515498,0.4564105594146006,0.38144318372297437,0.0,6,0,Active,True,2025-10-04
138,Gila Valley Ninjas AYSO 350 Alliance,0.025,0.2785,0.0894427190999916,0.6746843791792617,0.7178224532531059,0.0,4,0,Provisional,True,2025-09-21
139,State 48 FC Avondale 14 White State 48 FC,0.024,0.1468,0.1643167672515498,0.29957788901355564,0.43450819796243967,0.0,6,0,Active,True,2025-09-27
140,Phoenix Premier FC 14B Pre MLS Next AD Phoenix Premier FC,0.023,0.1863,0.125,0.38134402072975554,0.3279288042230096,0.074,5,0,Provisional,True,2025-09-20
141,Pumas Tucson 14B Renegades Soccer Club,0.022,0.2441,0.0894427190999916,0.5184112309989656,0.6509474731895938,0.017,4,0,Provisional,True,2025-09-21
142,Spartak Academy 2014 Boys Spartak Academy,0.014,0.1563,0.0894427190999916,0.45298179984184805,0.32835083331491277,0.0,4,0,Provisional,True,2025-10-04
143,SCUM East Valley 14B Ninjas SC Union Maricopa Academy,0.014,0.0822,0.1643167672515498,0.2116234257917615,0.19937060517503546,0.0,6,0,Active,True,2025-09-06
144,Bala FC - 2014B Bala FC,0.011,0.1862,0.05809475019311125,0.4685686222483645,0.4624472281885471,0.0,3,0,Provisional,True,2025-09-14
145,Jedi 14B Renegades Soccer Club,0.011,0.1939,0.05809475019311125,0.3322112828991014,0.5800573159919,0.019,3,0,Provisional,True,2025-09-21
146,Tuzos Nogales 2014 FBSL,0.01,0.1664,0.05809475019311125,0.3012656991828158,0.5307431340210327,0.0,3,0,Provisional,True,2025-09-21
147,Milan B AYSO 350 Alliance,0.01,0.1712,0.05809475019311125,0.2720284624283556,0.290156365912575,0.098,3,0,Provisional,True,2025-09-28
148,ESC - Boys Chandler 15/16 Epic Soccer Club,0.009,0.1002,0.0894427190999916,0.24848486756856583,0.2524763920556738,0.0,4,0,Provisional,True,2025-04-27
